source	target	weight	episode
ANAKIN (DW)	C-3PO	4	episode-3
BAIL ORGANA	C-3PO	3	episode-3
BAIL ORGANA	CAPTAIN ANTILLES	2	episode-3
C-3PO	CAPTAIN ANTILLES	1	episode-3
ANAKIN (DW)	CAPTAIN TYPHO	1	episode-3
C-3PO	CAPTAIN TYPHO	2	episode-3
ANAKIN (DW)	CLONE COMMANDER CODY	1	episode-3
ANAKIN (DW)	COUNT DOOKU (DT)	1	episode-3
BAIL ORGANA	FANG ZAR	2	episode-3
ANAKIN (DW)	GENERAL GRIEVOUS	1	episode-3
BAIL ORGANA	GIDDEAN DANU	1	episode-3
FANG ZAR	GIDDEAN DANU	1	episode-3
ANAKIN (DW)	JAR JAR	1	episode-3
ANAKIN (DW)	MACE WINDU	5	episode-3
CLONE COMMANDER CODY	MACE WINDU	1	episode-3
BAIL ORGANA	MON MOTHMA	2	episode-3
FANG ZAR	MON MOTHMA	2	episode-3
GIDDEAN DANU	MON MOTHMA	1	episode-3
GENERAL GRIEVOUS	NUTE GUNRAY	1	episode-3
ANAKIN (DW)	OBI-WAN	28	episode-3
BAIL ORGANA	OBI-WAN	7	episode-3
C-3PO	OBI-WAN	3	episode-3
CLONE COMMANDER CODY	OBI-WAN	2	episode-3
COUNT DOOKU (DT)	OBI-WAN	1	episode-3
GENERAL GRIEVOUS	OBI-WAN	2	episode-3
MACE WINDU	OBI-WAN	3	episode-3
ANAKIN (DW)	ODD BALL	2	episode-3
OBI-WAN	ODD BALL	2	episode-3
ANAKIN (DW)	PADME	9	episode-3
BAIL ORGANA	PADME	5	episode-3
C-3PO	PADME	5	episode-3
CAPTAIN TYPHO	PADME	2	episode-3
FANG ZAR	PADME	2	episode-3
GIDDEAN DANU	PADME	1	episode-3
MON MOTHMA	PADME	2	episode-3
OBI-WAN	PADME	6	episode-3
ANAKIN (DW)	PALPATINE (DS)	15	episode-3
BAIL ORGANA	PALPATINE (DS)	3	episode-3
C-3PO	PALPATINE (DS)	2	episode-3
COUNT DOOKU (DT)	PALPATINE (DS)	1	episode-3
JAR JAR	PALPATINE (DS)	1	episode-3
MACE WINDU	PALPATINE (DS)	1	episode-3
NUTE GUNRAY	PALPATINE (DS)	1	episode-3
OBI-WAN	PALPATINE (DS)	4	episode-3
PADME	PALPATINE (DS)	4	episode-3
R2-D2	PALPATINE (DS)	2	episode-3
BAIL ORGANA	QUI-GON	1	episode-3
ANAKIN (DW)	R2-D2	9	episode-3
BAIL ORGANA	R2-D2	4	episode-3
C-3PO	R2-D2	5	episode-3
CAPTAIN ANTILLES	R2-D2	1	episode-3
OBI-WAN	R2-D2	12	episode-3
PADME	R2-D2	4	episode-3
OBI-WAN	TION MEDON	1	episode-3
ANAKIN (DW)	YODA	5	episode-3
BAIL ORGANA	YODA	6	episode-3
C-3PO	YODA	1	episode-3
CLONE COMMANDER CODY	YODA	1	episode-3
CLONE COMMANDER GREE	YODA	1	episode-3
MACE WINDU	YODA	4	episode-3
OBI-WAN	YODA	11	episode-3
QUI-GON	YODA	1	episode-3
R2-D2	YODA	1	episode-3